"","X","Hours.Studied","Previous.Scores","Extracurricular.Activities","Sleep.Hours","Sample.Question.Papers.Practiced","Performance.Index"
"2046",2046,1,47,"No",8,9,24
"2047",2047,3,85,"Yes",9,8,64
"2048",2048,8,98,"No",4,9,94
"2049",2049,3,73,"No",5,0,50
"2050",2050,8,50,"Yes",6,1,41
"2051",2051,1,70,"No",9,9,45
"2052",2052,5,50,"No",8,7,37
"2053",2053,4,95,"Yes",9,4,75
"2054",2054,5,93,"No",6,8,80
"2055",2055,8,95,"Yes",9,5,94
"2056",2056,4,77,"Yes",9,7,62
"2057",2057,4,92,"No",9,0,73
"2058",2058,3,60,"Yes",8,8,43
"2059",2059,7,85,"No",8,8,78
"2060",2060,3,69,"No",4,2,51
"2061",2061,3,49,"Yes",7,0,24
"2062",2062,5,65,"Yes",5,7,46
"2063",2063,5,66,"Yes",4,7,51
"2064",2064,6,47,"Yes",6,8,35
"2065",2065,8,78,"Yes",9,5,75
"2066",2066,6,47,"Yes",8,8,38
"2067",2067,1,99,"No",9,9,79
"2068",2068,8,47,"No",8,8,42
"2069",2069,8,94,"Yes",5,3,89
"2070",2070,9,73,"No",4,4,66
"2071",2071,9,98,"Yes",4,5,100
"2072",2072,2,55,"Yes",6,5,34
"2073",2073,2,80,"No",4,9,59
"2074",2074,3,52,"No",4,1,28
"2075",2075,1,62,"Yes",7,3,39
"2076",2076,4,51,"Yes",5,8,36
"2077",2077,4,66,"Yes",9,6,52
"2078",2078,9,61,"No",4,8,57
"2079",2079,9,71,"Yes",6,5,66
"2080",2080,9,96,"Yes",9,6,95
"2081",2081,7,88,"No",8,8,79
"2082",2082,2,66,"No",4,3,42
"2083",2083,5,41,"No",4,8,23
"2084",2084,4,84,"Yes",9,2,67
"2085",2085,8,72,"Yes",8,7,64
"2086",2086,2,65,"No",7,2,43
"2087",2087,6,67,"Yes",5,2,56
"2088",2088,5,58,"Yes",7,2,43
"2089",2089,2,82,"No",6,8,55
"2090",2090,1,44,"No",9,9,16
"2091",2091,8,72,"Yes",4,2,65
"2092",2092,2,59,"No",7,5,38
"2093",2093,7,69,"No",5,3,57
"2094",2094,9,84,"Yes",6,1,83
"2095",2095,9,47,"Yes",7,2,47
"2096",2096,8,77,"Yes",4,4,71
"2097",2097,9,56,"Yes",5,9,56
"2098",2098,2,83,"Yes",4,3,57
"2099",2099,6,40,"Yes",4,4,23
"2100",2100,4,42,"No",6,0,27
"2101",2101,4,85,"No",5,3,65
"2102",2102,5,65,"No",8,9,54
"2103",2103,3,70,"Yes",4,2,50
"2104",2104,1,47,"Yes",5,1,23
"2105",2105,8,82,"Yes",4,6,77
"2106",2106,5,98,"Yes",7,9,83
"2107",2107,3,85,"Yes",7,8,66
"2108",2108,7,47,"No",5,0,38
"2109",2109,7,74,"Yes",6,6,65
"2110",2110,1,78,"No",8,0,54
"2111",2111,9,67,"Yes",7,4,65
"2112",2112,2,90,"No",6,0,68
"2113",2113,5,43,"No",8,2,31
"2114",2114,5,96,"No",7,7,83
"2115",2115,8,55,"No",8,3,49
"2116",2116,8,52,"No",9,0,45
"2117",2117,7,59,"No",4,0,46
"2118",2118,7,90,"No",5,7,85
"2119",2119,6,44,"Yes",7,7,33
"2120",2120,6,94,"Yes",7,3,83
"2121",2121,9,76,"No",4,3,71
"2122",2122,6,59,"Yes",7,9,49
"2123",2123,2,63,"Yes",7,1,39
"2124",2124,2,75,"No",9,1,51
"2125",2125,5,73,"Yes",7,5,57
"2126",2126,4,97,"No",7,7,81
"2127",2127,2,84,"Yes",7,6,65
"2128",2128,3,87,"No",6,6,66
"2129",2129,7,93,"Yes",7,2,86
"2130",2130,8,73,"No",4,1,66
"2131",2131,6,58,"Yes",9,9,50
"2132",2132,5,56,"Yes",7,6,46
"2133",2133,1,44,"Yes",8,3,20
"2134",2134,8,64,"No",9,0,58
"2135",2135,3,57,"No",9,0,38
"2136",2136,6,99,"Yes",8,3,91
"2137",2137,3,94,"Yes",4,4,77
"2138",2138,7,92,"No",6,4,83
"2139",2139,7,89,"Yes",4,0,79
"2140",2140,9,47,"Yes",6,2,50
"2141",2141,5,66,"No",5,5,51
"2142",2142,8,54,"No",8,9,49
"2143",2143,8,84,"Yes",9,6,79
"2144",2144,1,52,"No",9,0,26
"2145",2145,5,55,"Yes",9,7,42
"2146",2146,3,61,"Yes",8,3,42
"2147",2147,1,59,"No",8,8,35
"2148",2148,4,52,"Yes",6,5,31
"2149",2149,8,59,"No",9,0,50
"2150",2150,3,41,"No",4,1,18
"2151",2151,2,74,"Yes",6,2,50
"2152",2152,9,86,"No",9,1,82
"2153",2153,5,94,"Yes",8,9,78
"2154",2154,7,58,"No",8,6,53
"2155",2155,2,84,"Yes",8,0,65
"2156",2156,9,76,"No",9,8,76
"2157",2157,9,97,"Yes",8,1,94
"2158",2158,4,93,"Yes",5,3,79
"2159",2159,4,45,"No",8,7,27
"2160",2160,6,53,"Yes",9,2,43
"2161",2161,6,43,"Yes",6,8,30
"2162",2162,1,61,"Yes",8,6,37
"2163",2163,9,90,"Yes",7,9,90
"2164",2164,2,94,"Yes",5,2,68
"2165",2165,5,78,"Yes",9,2,64
"2166",2166,9,75,"No",8,4,73
"2167",2167,4,73,"No",7,4,53
"2168",2168,3,66,"No",9,9,46
"2169",2169,7,46,"No",6,4,37
"2170",2170,6,42,"Yes",5,8,29
"2171",2171,8,86,"Yes",8,8,80
"2172",2172,3,72,"No",6,5,52
"2173",2173,5,41,"Yes",9,6,29
"2174",2174,4,81,"No",7,9,70
"2175",2175,4,55,"Yes",9,7,40
"2176",2176,4,64,"Yes",9,8,49
"2177",2177,8,99,"No",5,5,92
"2178",2178,6,54,"Yes",8,7,46
"2179",2179,3,63,"No",6,1,42
"2180",2180,5,54,"No",5,9,41
"2181",2181,6,70,"No",7,7,60
"2182",2182,5,53,"Yes",8,1,41
"2183",2183,6,93,"Yes",5,7,83
"2184",2184,8,53,"No",7,1,43
"2185",2185,7,45,"Yes",7,2,36
"2186",2186,5,53,"No",6,6,38
"2187",2187,6,56,"No",9,8,47
"2188",2188,4,57,"Yes",7,2,40
"2189",2189,9,59,"No",7,4,59
"2190",2190,4,90,"Yes",9,8,76
"2191",2191,1,56,"Yes",4,6,31
"2192",2192,7,55,"Yes",7,1,44
"2193",2193,7,79,"No",8,4,71
"2194",2194,4,78,"No",5,4,59
"2195",2195,3,91,"Yes",9,8,69
"2196",2196,8,71,"Yes",9,1,63
"2197",2197,5,99,"No",9,0,87
"2198",2198,7,83,"Yes",8,3,77
"2199",2199,4,48,"Yes",9,3,31
"2200",2200,4,66,"No",8,0,47
"2201",2201,8,85,"No",6,9,78
"2202",2202,8,91,"No",4,6,86
"2203",2203,2,72,"Yes",9,1,48
"2204",2204,2,49,"No",4,8,24
"2205",2205,3,56,"No",9,6,39
"2206",2206,3,88,"No",8,6,71
"2207",2207,1,88,"No",5,0,60
"2208",2208,3,75,"No",4,8,54
"2209",2209,6,56,"No",4,9,45
"2210",2210,8,57,"No",8,8,51
"2211",2211,6,91,"Yes",4,1,78
"2212",2212,5,62,"No",6,9,48
"2213",2213,4,73,"Yes",8,8,59
"2214",2214,3,47,"Yes",4,1,28
"2215",2215,4,52,"No",4,1,35
"2216",2216,7,62,"Yes",4,7,55
"2217",2217,1,96,"No",8,2,69
"2218",2218,7,93,"Yes",5,2,87
"2219",2219,1,59,"No",7,6,32
"2220",2220,2,61,"Yes",9,9,37
"2221",2221,4,86,"No",4,5,66
"2222",2222,1,91,"No",7,6,66
"2223",2223,9,62,"Yes",7,5,56
"2224",2224,6,80,"Yes",4,8,70
"2225",2225,1,74,"No",4,1,48
"2226",2226,1,42,"Yes",9,7,17
"2227",2227,6,73,"No",7,5,59
"2228",2228,4,72,"Yes",5,3,56
"2229",2229,4,85,"No",7,5,66
"2230",2230,6,56,"Yes",5,5,41
"2231",2231,7,84,"No",6,9,76
"2232",2232,9,58,"Yes",5,2,54
"2233",2233,5,69,"No",9,7,57
"2234",2234,9,62,"Yes",8,4,62
"2235",2235,4,54,"No",4,9,38
"2236",2236,2,98,"Yes",6,3,73
"2237",2237,3,96,"Yes",7,1,72
"2238",2238,1,53,"No",5,9,28
"2239",2239,6,41,"Yes",6,0,28
"2240",2240,6,78,"Yes",8,6,67
"2241",2241,1,88,"No",5,9,62
"2242",2242,3,57,"No",9,2,36
"2243",2243,5,45,"No",7,2,33
"2244",2244,3,98,"No",7,2,74
"2245",2245,3,71,"Yes",5,9,52
"2246",2246,3,60,"Yes",8,2,38
"2247",2247,5,79,"Yes",4,1,62
"2248",2248,5,67,"No",4,5,50
"2249",2249,4,66,"Yes",7,9,48
"2250",2250,1,41,"Yes",8,2,15
"2251",2251,5,72,"No",7,0,51
"2252",2252,5,55,"Yes",4,9,37
"2253",2253,4,78,"Yes",7,8,59
"2254",2254,6,61,"No",5,5,46
"2255",2255,4,95,"Yes",9,5,78
"2256",2256,7,82,"No",5,9,74
"2257",2257,7,86,"No",9,8,78
"2258",2258,2,52,"Yes",8,1,27
"2259",2259,3,95,"Yes",4,9,74
"2260",2260,1,41,"Yes",8,8,15
"2261",2261,8,53,"No",8,2,46
"2262",2262,9,95,"No",4,2,90
"2263",2263,4,77,"Yes",6,2,58
"2264",2264,6,80,"Yes",6,0,65
"2265",2265,9,67,"No",7,9,65
"2266",2266,6,46,"Yes",6,6,36
"2267",2267,9,57,"Yes",5,9,52
"2268",2268,4,95,"No",9,6,79
"2269",2269,8,80,"Yes",8,1,74
"2270",2270,9,94,"Yes",7,5,93
"2271",2271,4,75,"Yes",8,3,57
"2272",2272,5,80,"Yes",4,6,65
"2273",2273,8,75,"No",6,6,69
"2274",2274,6,83,"No",4,3,71
"2275",2275,7,43,"No",7,2,31
"2276",2276,3,96,"No",9,6,78
"2277",2277,7,69,"Yes",5,8,60
"2278",2278,8,63,"Yes",6,3,58
"2279",2279,6,59,"Yes",4,5,46
"2280",2280,9,85,"Yes",9,6,87
"2281",2281,6,95,"No",6,9,81
"2282",2282,9,70,"Yes",8,2,69
"2283",2283,4,63,"Yes",5,4,46
"2284",2284,8,46,"No",9,0,41
"2285",2285,4,65,"No",6,5,50
"2286",2286,2,52,"No",5,4,24
"2287",2287,9,93,"Yes",9,6,97
"2288",2288,5,47,"No",8,8,35
"2289",2289,4,94,"Yes",8,3,82
"2290",2290,2,44,"Yes",4,8,24
"2291",2291,1,83,"No",7,5,59
"2292",2292,7,52,"No",4,4,42
"2293",2293,6,68,"No",5,1,56
"2294",2294,2,59,"Yes",4,0,30
"2295",2295,8,53,"Yes",9,7,49
"2296",2296,4,71,"Yes",6,5,56
"2297",2297,8,99,"No",9,6,98
"2298",2298,7,89,"Yes",4,5,79
"2299",2299,5,66,"Yes",7,9,54
"2300",2300,8,95,"Yes",9,6,93
"2301",2301,9,64,"Yes",9,8,63
"2302",2302,5,91,"No",9,4,76
"2303",2303,5,43,"Yes",7,0,27
"2304",2304,2,60,"No",9,0,35
"2305",2305,5,57,"No",5,8,39
"2306",2306,3,78,"Yes",8,4,59
"2307",2307,7,54,"Yes",7,1,50
"2308",2308,5,92,"No",5,2,77
"2309",2309,8,77,"Yes",7,0,70
"2310",2310,1,87,"No",7,5,62
"2311",2311,3,91,"Yes",8,5,71
"2312",2312,3,63,"Yes",6,2,39
"2313",2313,9,47,"No",5,2,41
"2314",2314,5,67,"Yes",7,6,51
"2315",2315,9,60,"No",7,0,52
"2316",2316,9,55,"No",4,4,49
"2317",2317,1,99,"Yes",9,2,76
"2318",2318,2,93,"No",6,4,71
"2319",2319,5,55,"Yes",8,3,42
"2320",2320,4,74,"Yes",5,5,60
"2321",2321,9,56,"Yes",7,8,53
"2322",2322,7,48,"No",9,1,40
"2323",2323,6,96,"Yes",5,9,85
"2324",2324,7,74,"Yes",8,7,70
"2325",2325,1,91,"No",6,1,63
"2326",2326,1,68,"No",4,3,42
"2327",2327,8,78,"No",6,8,73
"2328",2328,2,57,"No",4,3,35
"2329",2329,9,51,"Yes",5,6,48
"2330",2330,7,58,"Yes",6,4,49
"2331",2331,6,87,"Yes",6,1,75
"2332",2332,1,61,"Yes",6,7,35
"2333",2333,1,98,"No",8,9,70
"2334",2334,2,95,"No",5,9,71
"2335",2335,6,88,"Yes",4,1,74
"2336",2336,6,91,"No",6,2,77
"2337",2337,2,54,"No",5,9,30
"2338",2338,1,40,"No",9,6,13
"2339",2339,5,41,"No",8,4,26
"2340",2340,5,47,"No",8,9,35
"2341",2341,2,61,"Yes",9,2,40
"2342",2342,6,64,"Yes",5,1,55
"2343",2343,9,41,"No",4,5,37
"2344",2344,2,90,"No",5,9,64
"2345",2345,2,48,"Yes",5,0,23
"2346",2346,3,48,"Yes",7,7,27
"2347",2347,7,52,"No",8,4,42
"2348",2348,6,45,"No",4,4,34
"2349",2349,8,69,"No",7,1,63
"2350",2350,8,54,"Yes",9,6,50
"2351",2351,6,90,"No",5,4,75
"2352",2352,3,92,"No",9,7,74
"2353",2353,3,54,"No",8,4,39
"2354",2354,1,89,"No",7,8,63
"2355",2355,7,46,"No",7,4,36
"2356",2356,5,97,"No",4,2,84
"2357",2357,4,50,"No",5,1,30
"2358",2358,4,79,"No",4,4,60
"2359",2359,4,77,"Yes",7,9,61
"2360",2360,6,79,"Yes",7,9,70
"2361",2361,8,41,"Yes",4,4,32
"2362",2362,8,90,"No",7,5,87
"2363",2363,5,87,"Yes",6,1,72
"2364",2364,6,78,"Yes",8,4,68
"2365",2365,4,49,"Yes",5,0,29
"2366",2366,9,83,"Yes",8,2,78
"2367",2367,8,56,"Yes",5,2,45
"2368",2368,1,46,"No",7,2,20
"2369",2369,2,93,"Yes",4,2,66
"2370",2370,9,79,"No",4,7,77
"2371",2371,8,78,"No",7,0,72
"2372",2372,3,43,"Yes",5,5,26
"2373",2373,8,74,"No",7,5,67
"2374",2374,1,90,"Yes",5,0,67
"2375",2375,4,86,"No",7,0,68
"2376",2376,3,75,"No",7,2,56
"2377",2377,6,70,"Yes",7,7,61
"2378",2378,7,64,"No",4,5,50
"2379",2379,4,80,"No",5,3,68
"2380",2380,7,52,"No",9,4,47
"2381",2381,9,57,"No",7,9,56
"2382",2382,2,60,"No",8,2,40
"2383",2383,3,87,"No",8,5,68
"2384",2384,5,40,"No",4,5,26
"2385",2385,3,75,"No",6,5,55
"2386",2386,8,89,"Yes",9,8,84
"2387",2387,8,47,"No",4,9,40
"2388",2388,8,91,"Yes",6,7,85
"2389",2389,9,87,"Yes",4,5,85
"2390",2390,4,60,"No",8,1,40
"2391",2391,5,82,"No",7,3,68
"2392",2392,5,91,"Yes",5,5,74
"2393",2393,8,92,"Yes",7,8,90
"2394",2394,7,92,"Yes",8,1,82
"2395",2395,9,60,"No",5,5,57
"2396",2396,8,66,"No",6,9,61
"2397",2397,2,58,"No",6,9,38
"2398",2398,4,62,"Yes",8,9,46
"2399",2399,6,90,"No",5,6,80
"2400",2400,2,89,"No",7,7,67
"2401",2401,7,90,"No",8,8,84
"2402",2402,3,82,"No",6,4,58
"2403",2403,3,74,"Yes",8,8,55
"2404",2404,2,79,"No",7,8,57
"2405",2405,8,91,"No",4,6,87
"2406",2406,6,90,"Yes",9,1,80
"2407",2407,1,81,"No",9,7,54
"2408",2408,1,87,"Yes",9,4,64
"2409",2409,7,44,"Yes",4,7,33
"2410",2410,8,91,"No",7,1,83
"2411",2411,5,80,"Yes",5,6,66
"2412",2412,5,47,"No",8,4,33
"2413",2413,4,50,"Yes",7,3,31
"2414",2414,6,55,"Yes",4,9,40
"2415",2415,6,78,"No",6,5,66
"2416",2416,3,86,"Yes",9,4,67
"2417",2417,9,63,"No",9,5,64
"2418",2418,7,60,"No",7,8,52
"2419",2419,1,91,"No",9,0,68
"2420",2420,7,62,"No",9,0,58
"2421",2421,5,88,"Yes",7,5,72
"2422",2422,5,77,"No",7,1,65
"2423",2423,2,86,"Yes",4,7,65
"2424",2424,4,47,"No",4,6,24
"2425",2425,6,46,"Yes",9,5,35
"2426",2426,7,41,"Yes",7,3,34
"2427",2427,5,69,"Yes",7,8,57
"2428",2428,9,52,"Yes",9,6,54
"2429",2429,3,62,"No",5,6,42
"2430",2430,1,68,"No",6,4,39
"2431",2431,4,77,"Yes",8,0,62
"2432",2432,9,76,"Yes",8,1,71
"2433",2433,4,59,"No",9,7,42
"2434",2434,2,72,"Yes",8,4,52
"2435",2435,5,68,"Yes",4,1,54
"2436",2436,3,89,"No",4,4,68
"2437",2437,9,54,"Yes",5,7,50
"2438",2438,4,62,"Yes",9,3,46
"2439",2439,6,81,"No",4,2,68
"2440",2440,2,42,"Yes",9,4,19
"2441",2441,6,76,"No",9,6,68
"2442",2442,3,95,"No",7,1,74
"2443",2443,9,68,"No",6,0,63
"2444",2444,2,84,"No",6,4,60
"2445",2445,9,47,"Yes",9,6,47
"2446",2446,5,61,"No",6,7,47
"2447",2447,8,92,"No",6,7,87
"2448",2448,2,68,"Yes",8,9,45
"2449",2449,6,41,"No",8,8,31
"2450",2450,3,80,"Yes",7,0,61
"2451",2451,5,88,"No",5,6,73
"2452",2452,8,98,"No",4,9,92
"2453",2453,1,89,"No",4,7,65
"2454",2454,5,84,"No",8,5,69
"2455",2455,3,40,"Yes",9,9,20
"2456",2456,4,83,"Yes",6,3,66
"2457",2457,2,59,"Yes",7,6,38
"2458",2458,9,91,"No",5,2,81
"2459",2459,3,60,"No",8,1,39
"2460",2460,2,76,"No",9,5,53
"2461",2461,9,47,"Yes",7,1,44
"2462",2462,7,66,"No",9,5,58
"2463",2463,6,86,"Yes",7,9,79
"2464",2464,1,98,"Yes",8,2,75
"2465",2465,5,74,"Yes",7,1,59
"2466",2466,3,45,"No",6,7,23
"2467",2467,1,99,"No",7,3,74
"2468",2468,4,84,"No",5,3,65
"2469",2469,2,83,"No",7,6,60
"2470",2470,2,58,"Yes",4,7,32
"2471",2471,3,57,"Yes",7,8,38
"2472",2472,8,95,"No",9,9,91
"2473",2473,8,40,"No",8,7,34
"2474",2474,7,64,"No",4,3,46
"2475",2475,6,66,"Yes",8,1,55
"2476",2476,9,46,"No",9,9,43
"2477",2477,4,83,"Yes",5,4,67
"2478",2478,1,81,"Yes",6,6,56
"2479",2479,8,68,"Yes",5,1,58
"2480",2480,7,70,"Yes",4,3,60
"2481",2481,7,83,"Yes",9,5,77
"2482",2482,3,82,"Yes",9,7,69
"2483",2483,4,75,"Yes",6,9,60
"2484",2484,9,58,"No",7,5,52
"2485",2485,6,45,"No",4,5,36
"2486",2486,5,64,"No",6,5,49
"2487",2487,3,70,"Yes",8,3,50
"2488",2488,9,48,"Yes",6,2,48
"2489",2489,5,59,"No",8,0,43
"2490",2490,5,49,"Yes",8,1,34
"2491",2491,4,76,"Yes",9,1,57
"2492",2492,4,66,"Yes",6,9,50
"2493",2493,1,52,"Yes",9,6,28
"2494",2494,7,80,"Yes",9,5,72
"2495",2495,9,41,"Yes",5,7,38
"2496",2496,3,89,"Yes",5,8,68
"2497",2497,2,60,"Yes",9,4,41
"2498",2498,3,72,"Yes",9,2,53
"2499",2499,1,63,"Yes",8,3,36
"2500",2500,6,92,"Yes",9,7,80
"2501",2501,7,83,"Yes",4,2,73
"2502",2502,2,81,"No",6,1,59
"2503",2503,8,73,"Yes",4,6,67
"2504",2504,6,99,"Yes",5,3,91
"2505",2505,4,48,"No",4,7,34
"2506",2506,5,41,"No",7,0,23
"2507",2507,8,94,"No",7,7,86
"2508",2508,3,95,"Yes",5,4,73
"2509",2509,3,69,"Yes",4,1,49
"2510",2510,4,61,"No",6,0,43
"2511",2511,1,85,"No",5,5,61
"2512",2512,9,50,"No",7,8,45
"2513",2513,8,94,"Yes",5,8,85
"2514",2514,8,82,"Yes",4,8,75
"2515",2515,6,56,"No",4,3,44
"2516",2516,7,75,"Yes",4,5,66
"2517",2517,6,52,"Yes",8,9,45
"2518",2518,9,46,"No",4,5,40
"2519",2519,3,55,"No",9,4,38
"2520",2520,3,72,"No",7,1,50
"2521",2521,3,84,"Yes",7,6,67
"2522",2522,3,40,"Yes",8,0,21
"2523",2523,9,50,"Yes",7,5,51
"2524",2524,4,45,"Yes",7,4,25
"2525",2525,7,59,"Yes",5,4,53
"2526",2526,9,74,"No",4,7,71
"2527",2527,7,83,"Yes",9,8,77
"2528",2528,9,76,"Yes",9,6,75
"2529",2529,3,80,"No",5,9,60
"2530",2530,4,65,"No",9,7,49
"2531",2531,8,97,"No",5,1,87
"2532",2532,6,51,"No",9,1,40
"2533",2533,5,69,"Yes",7,7,56
"2534",2534,4,67,"Yes",6,5,49
"2535",2535,8,66,"No",4,7,59
"2536",2536,1,81,"Yes",6,8,59
"2537",2537,9,58,"No",7,8,54
"2538",2538,1,44,"Yes",8,5,17
"2539",2539,8,97,"Yes",5,7,90
"2540",2540,4,44,"Yes",9,1,23
"2541",2541,9,80,"No",9,7,82
"2542",2542,5,66,"No",7,2,49
"2543",2543,3,67,"Yes",9,0,50
"2544",2544,9,65,"Yes",7,6,60
"2545",2545,9,66,"No",6,0,60
"2546",2546,4,91,"No",8,0,74
"2547",2547,4,88,"Yes",5,0,71
"2548",2548,8,81,"Yes",9,3,77
"2549",2549,2,60,"No",8,3,34
"2550",2550,9,40,"Yes",8,9,39
"2551",2551,6,93,"No",8,5,85
"2552",2552,9,67,"No",4,9,64
"2553",2553,8,87,"Yes",8,2,87
"2554",2554,7,97,"Yes",7,9,91
"2555",2555,1,97,"Yes",4,5,73
"2556",2556,3,54,"No",4,6,34
"2557",2557,2,94,"No",8,0,70
"2558",2558,5,56,"No",9,5,42
"2559",2559,5,65,"Yes",9,9,55
"2560",2560,5,59,"Yes",9,0,45
"2561",2561,4,64,"No",9,6,49
"2562",2562,5,52,"No",7,9,37
"2563",2563,3,72,"Yes",9,4,55
"2564",2564,1,64,"No",5,9,38
"2565",2565,5,47,"Yes",8,3,35
"2566",2566,9,44,"Yes",4,0,41
"2567",2567,9,45,"No",5,8,43
"2568",2568,4,62,"No",9,6,46
"2569",2569,3,91,"No",5,1,69
"2570",2570,1,69,"No",4,3,37
"2571",2571,2,53,"No",9,3,31
"2572",2572,8,93,"Yes",5,7,90
"2573",2573,1,62,"No",7,1,33
"2574",2574,8,50,"Yes",7,4,44
"2575",2575,7,70,"No",8,9,62
"2576",2576,8,45,"No",8,7,41
"2577",2577,6,50,"No",5,5,38
"2578",2578,9,52,"No",4,3,45
"2579",2579,3,51,"No",7,4,34
"2580",2580,4,93,"No",6,1,72
"2581",2581,6,41,"Yes",8,4,29
"2582",2582,8,92,"No",7,2,83
"2583",2583,5,74,"No",9,2,61
"2584",2584,3,94,"No",5,6,75
"2585",2585,6,75,"No",7,2,63
"2586",2586,4,56,"Yes",7,3,36
"2587",2587,9,67,"Yes",5,6,62
"2588",2588,3,67,"Yes",8,2,49
"2589",2589,4,61,"Yes",8,9,46
"2590",2590,7,77,"Yes",6,9,69
"2591",2591,7,46,"Yes",6,1,35
"2592",2592,4,54,"No",8,9,38
"2593",2593,6,71,"No",8,6,62
"2594",2594,3,50,"Yes",8,4,30
"2595",2595,6,63,"No",8,0,52
"2596",2596,2,42,"No",7,9,16
"2597",2597,8,69,"No",6,7,66
"2598",2598,2,45,"No",5,2,20
"2599",2599,7,97,"No",4,6,86
"2600",2600,9,41,"Yes",5,5,38
"2601",2601,1,53,"Yes",9,9,30
"2602",2602,8,80,"Yes",4,5,71
"2603",2603,7,57,"Yes",7,7,49
"2604",2604,6,90,"Yes",9,3,79
"2605",2605,6,83,"Yes",6,3,69
"2606",2606,6,70,"No",4,2,56
"2607",2607,9,52,"Yes",8,0,47
"2608",2608,2,65,"No",9,9,41
"2609",2609,1,83,"No",7,2,58
"2610",2610,6,51,"Yes",4,0,38
"2611",2611,8,57,"Yes",8,5,52
"2612",2612,3,48,"Yes",9,7,25
"2613",2613,1,88,"No",7,2,62
"2614",2614,9,60,"Yes",9,3,60
"2615",2615,1,87,"Yes",4,4,63
"2616",2616,3,88,"Yes",8,6,72
"2617",2617,8,92,"No",6,5,84
"2618",2618,3,95,"Yes",7,1,74
"2619",2619,4,79,"Yes",4,6,61
"2620",2620,8,82,"No",8,7,77
"2621",2621,1,63,"No",6,0,36
"2622",2622,6,73,"No",9,5,65
"2623",2623,1,47,"Yes",8,8,23
"2624",2624,1,83,"Yes",6,6,60
"2625",2625,8,92,"No",4,4,83
"2626",2626,4,72,"Yes",8,9,56
"2627",2627,1,62,"No",8,9,37
"2628",2628,7,52,"No",5,8,43
"2629",2629,5,93,"No",7,1,76
"2630",2630,5,92,"No",8,6,83
"2631",2631,1,88,"No",6,8,63
"2632",2632,6,53,"Yes",7,1,39
"2633",2633,9,53,"Yes",4,9,48
"2634",2634,9,55,"Yes",7,5,53
"2635",2635,8,88,"Yes",5,8,84
"2636",2636,5,77,"No",4,2,63
"2637",2637,1,97,"Yes",8,7,73
"2638",2638,9,99,"No",9,4,99
"2639",2639,1,78,"No",4,6,52
"2640",2640,8,65,"Yes",4,2,58
"2641",2641,5,65,"Yes",5,7,50
"2642",2642,3,40,"No",6,1,18
"2643",2643,7,71,"Yes",4,7,62
"2644",2644,7,96,"Yes",6,1,87
"2645",2645,9,54,"Yes",7,6,53
"2646",2646,7,91,"Yes",9,1,87
"2647",2647,3,60,"No",5,6,37
"2648",2648,1,57,"No",8,0,31
"2649",2649,8,69,"Yes",4,5,63
"2650",2650,3,99,"No",9,9,81
"2651",2651,8,97,"No",9,6,95
"2652",2652,8,52,"Yes",6,3,45
"2653",2653,5,63,"Yes",4,0,48
"2654",2654,1,69,"No",9,5,47
"2655",2655,7,41,"No",5,3,31
"2656",2656,5,58,"No",8,2,43
"2657",2657,8,86,"Yes",7,3,82
"2658",2658,9,83,"No",7,5,80
"2659",2659,7,86,"No",6,4,76
"2660",2660,7,64,"Yes",9,1,57
"2661",2661,1,89,"No",7,1,64
"2662",2662,4,53,"Yes",6,2,35
"2663",2663,2,45,"Yes",8,5,24
"2664",2664,2,51,"No",4,0,30
"2665",2665,2,59,"Yes",5,6,38
"2666",2666,4,62,"Yes",8,7,45
"2667",2667,1,69,"No",8,6,44
"2668",2668,4,69,"Yes",7,2,53
"2669",2669,2,77,"No",7,5,53
"2670",2670,5,97,"Yes",5,3,84
"2671",2671,3,69,"Yes",4,4,47
"2672",2672,8,80,"No",8,2,76
"2673",2673,4,69,"No",9,4,57
"2674",2674,1,96,"No",7,5,71
"2675",2675,1,97,"Yes",8,7,74
"2676",2676,3,75,"No",4,5,54
"2677",2677,9,88,"Yes",6,8,84
"2678",2678,7,73,"No",4,9,62
"2679",2679,2,55,"Yes",8,9,35
"2680",2680,9,63,"No",8,9,62
"2681",2681,2,53,"Yes",5,9,30
"2682",2682,3,65,"No",8,3,47
"2683",2683,2,47,"Yes",7,1,25
"2684",2684,3,53,"Yes",9,8,40
"2685",2685,6,70,"Yes",5,2,56
"2686",2686,9,41,"Yes",8,6,38
"2687",2687,9,87,"No",4,3,86
"2688",2688,7,43,"Yes",8,0,38
"2689",2689,3,40,"No",4,7,17
"2690",2690,4,94,"Yes",4,3,75
"2691",2691,6,59,"No",8,5,48
"2692",2692,5,98,"Yes",4,6,87
"2693",2693,2,53,"Yes",9,7,32
"2694",2694,6,79,"No",6,9,68
"2695",2695,3,64,"No",5,1,42
"2696",2696,8,99,"Yes",8,8,96
"2697",2697,2,64,"No",6,9,42
"2698",2698,1,42,"No",4,2,18
"2699",2699,9,44,"No",4,0,41
"2700",2700,3,77,"Yes",5,1,54
"2701",2701,1,93,"No",6,7,67
"2702",2702,7,65,"Yes",6,9,57
"2703",2703,5,79,"No",8,5,65
"2704",2704,5,77,"No",4,0,62
"2705",2705,1,77,"Yes",7,8,56
"2706",2706,9,43,"No",8,6,39
"2707",2707,7,46,"No",8,9,38
"2708",2708,8,69,"No",8,2,65
